method,size,shape,initial_previous_us,previous_us,candidate_us,speedup,repeat_previous_us,repeat_candidate_us,repeat_speedup,previous_bytes,candidate_bytes,native_us
Filter,32,array,0.39821556031406136,0.37744982290436835,0.16548,2.2809392247061178,0.3496765847347995,0.133,2.629147253645109,432,272,0.16551
FilterIndexed,32,array,0.34065599999999996,0.37693436010267695,0.3278073368804256,1.1498655389771566,0.32836,0.26479172777940746,1.2400689506189935,344,368,0.43101924076963083
Map,32,array,0.6033440891757114,0.6837387964148528,0.265575,2.5745600919320446,0.5160164271047228,0.104745,4.926406292469548,656,200,0.14194500000000002
MapIndexed,32,array,0.5610590321763365,0.5862333333333334,0.5720163209792587,1.0248542075333376,0.4762731188244236,0.45233,1.0529328561546296,568,552,0.5731939518387157
Reduce,32,array,0.17433333333333334,0.20823000000000003,0.150305,1.3853830544559398,0.1698,0.12477,1.3609040634767973,120,32,0.1483
ReduceIndexed,32,array,0.1361574462978519,0.15788687698338622,0.15594,1.0124847825021561,0.132825,0.13355,0.994571321602396,32,32,
ForEach,32,array,0.17717072455265476,0.218952,0.10883499999999999,2.0117792989387606,0.1733349333973359,0.08977,1.9308781708514637,208,88,
ForEachIndexed,32,array,0.14439533038648986,0.172675,0.17109000000000002,1.0092641299900635,0.14107999999999998,0.1411,0.9998582565556342,120,120,
Concat,32,array,0.09432943294329434,0.11990879635185409,0.0999,1.200288251770311,0.07863333333333333,0.08274,0.9503666102650875,560,560,0.19390898483080513
Slice,32,array,0.1700506057353167,0.2280158444364422,0.11532,1.977244575411396,0.16396,0.095555,1.7158704411072156,312,200,0.106725
ToRecord,32,array,0.4975452678738099,0.4684659090909091,0.37944553346401566,1.2346064659510234,0.44445333333333337,0.311792314461719,1.425478797001913,1688,928,0.32921066666666665
ToRecordIndexed,32,array,0.4323066666666667,0.5329346507193621,0.38930400000000004,1.3689421396116197,0.4436132834636745,0.31900799999999996,1.3906023781963919,1600,904,
ReduceIndexedTypedArray,32,array,,0.1586901444134786,0.053475,2.9675576327906232,0.132112,0.04678,2.824112868747328,32,0,
ForEachIndexedTypedArray,32,array,,0.16749003293465073,0.111055,1.5081719232330892,0.14286,0.08972999999999999,1.5921096623202942,120,88,
FilterAsync,32,array,2.9525,3.3865,3.2075,1.0558067030397504,2.1630000000000003,1.9835,1.0904965969246283,,,
ConcatAsync,32,array,2.835,2.8435,2.9625,0.9598312236286921,1.5475,1.6015000000000001,0.9662816109896971,,,
ForEachAsync,32,array,1.8395,2.728,1.9169999999999998,1.4230568596765782,1.5575,1.4405000000000001,1.0812217979868102,,,
FilterParallel,32,array,4.971,5.07,5.577952755905511,0.9089356295878036,3.218,3.445,0.9341074020319303,,,
FilterParallelCpu,32,array,12.299000000000001,12.519285714285715,13.121500000000001,0.9541047680742075,8.4245,8.9165,0.9448213985308137,,,
FilterParallelAsync,32,array,20.024342105263155,20.6145,22.511,0.915752298876105,8.993500000000001,6.399,1.4054539771839352,,,
ForEachParallel,32,array,3.736,3.2735000000000003,3.575,0.9156643356643357,2.1725,2.2735,0.9555751044644821,,,
ToDictionaryParallel,32,array,7.4879999999999995,8.75,7.7515,1.1288137779784557,5.3075,5.1514999999999995,1.0302824420071826,,,
Filter,32,list,0.5041067761806981,0.6095709570957095,0.19321,3.1549658770027924,0.48352,0.15936,3.034136546184739,440,296,0.19425
FilterIndexed,32,list,0.47550719709849254,0.5633386666666667,0.3817952718108724,1.475499327151763,0.45216,0.3109144365774631,1.45429078487755,352,368,0.6220100000000001
Map,32,list,0.76512,0.8453079785035138,0.11361600000000001,7.440043466620139,0.7124725791287998,0.100515,7.088221450816294,664,224,0.12455999999999999
MapIndexed,32,list,0.728982898289829,0.852224,0.8570428451414169,0.9943773579480477,0.712222051832541,0.6865066666666667,1.037458318199203,576,560,0.82568
Reduce,32,list,0.33541333333333334,0.389,0.33530541221648863,1.1601363587559501,0.3233206218832502,0.2795626666666667,1.1565228853277387,128,40,0.3301872074882995
ReduceIndexed,32,list,0.30373548275264345,0.3428424757993547,0.3444917796711869,0.9952123563778316,0.28971225515687293,0.29626785071402856,0.9778727406927342,40,40,
ForEach,32,list,0.34252036748136594,0.39808800000000005,0.103425,3.8490500362581583,0.328600762687005,0.08696,3.778757620595734,216,88,
ForEachIndexed,32,list,0.30824,0.36432000000000003,0.3819332773310933,0.9538838892118203,0.3022666666666667,0.2965978639145566,1.0191127565023297,128,128,
Concat,32,list,0.1358094323772951,0.167175,0.172825,0.9673079704903803,0.12864533333333333,0.1323,0.9723759133282943,592,592,0.14698
Slice,32,list,0.28103333333333336,0.3140525621024841,0.09252,3.3944289029667543,0.2649765990639626,0.075975,3.4876814618488,312,200,0.08603999999999999
ToRecord,32,list,0.6935746051219138,0.8927235634138049,0.5973166666666667,1.494556594905781,0.6809152366094643,0.45887,1.483895736503725,1696,936,0.342275
ToRecordIndexed,32,list,0.650777354062775,0.791097095922558,0.5842,1.3541545633730878,0.6198,0.4558,1.359806932865292,1608,912,
Filter,32,iterator,0.4759945596735804,0.54506,0.4033901356054242,1.3511981377084294,0.44618,0.3233349333973359,1.3799313155306476,456,336,0.40355814232569304
FilterIndexed,32,iterator,0.42562,0.498273287287661,0.47266400000000003,1.0541807442235096,0.41067,0.38995199999999997,1.0531296159527326,368,424,0.5571495239873063
Map,32,iterator,0.7395644839748504,0.9112952158693116,0.3947217888715549,2.308702588915995,0.6842666062117434,0.320272,2.1365171048725564,680,560,0.4010740429617185
MapIndexed,32,iterator,0.705904,0.8038504620554467,0.785951355459843,1.0227738096909718,0.6406360424028269,0.6536356726627819,0.9801118102887545,592,576,0.7778059285533316
Reduce,32,iterator,0.28564,0.32366666666666666,0.271505,1.192120464325396,0.27282194191845116,0.232225,1.174817275997206,144,56,0.2788373333333333
ReduceIndexed,32,iterator,0.24814461718979172,0.28218666666666664,0.28457333333333334,0.9916131752799512,0.25256,0.242885,1.0398336661382959,56,56,
ForEach,32,iterator,0.30791287767673803,0.33542666666666665,0.22576,1.4857665957949444,0.32116456438838364,0.19555999999999998,1.642281470588994,232,144,
ForEachIndexed,32,iterator,0.26777999999999996,0.31161646465858633,0.3054,1.0203551560530004,0.24723733333333334,0.254,0.9733753280839895,144,144,
Concat,32,iterator,0.8604320432043204,1.007648,0.5207765540414412,1.934895094988888,0.7912524002560273,0.4356300918703415,1.8163400899576312,904,744,0.50130005200208
Slice,32,iterator,1.1050408401400234,1.2196123147092361,0.21889,5.571804626566934,1.0552392065344223,0.1795,5.878769952838008,928,424,0.20426666666666668
